공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
우,5.0,2건,리뷰 12,경북 경산시 대학로 315 2층,(지번) 조영동 283-1,010-4588-6426,https://www.instagram.com/woodner_woodworking
비케이갤러리,5.0,2건,리뷰 0,대구 남구 명덕로 204,(지번) 대명동 2032-5,053-476-8484,http://blog.naver.com/jpsjmk
우드,0.0,0건,리뷰 0,대구 남구 성당로 250,(지번) 대명3동 2296-19,053-634-0645,http://cafe.daum.net/dwoodschool
문풍지한지공,0.0,0건,리뷰 0,대구 중구 달구벌대로 지하 2160 메트로프라자 F236,(지번) 봉산동 127-1,053-634-0645,https://moonpoongji.modoo.at/
그린표구사,0.0,0건,리뷰 0,대구 달서구 월배로93길 99,(지번) 송현동 101-7,053-651-6333,
현아트액자,5.0,1건,리뷰 0,대구 북구 중앙대로 512,(지번) 칠성동2가 333-7,053-351-7039,
아트사랑,5.0,2건,리뷰 0,대전 대덕구 한밭대로 1168,(지번) 중리동 251-17,053-351-7039,http://www.artlove.or.kr/
니트바림,0.0,0건,리뷰 1,대구 동구 이노밸리로56길 11-2 1층,(지번) 신서동 1163-3,053-351-7039,http://fishnami.blog.me/
태양표구화랑,5.0,1건,리뷰 5,충북 청주시 서원구 사직대로 161,(지번) 사창동 239-6,053-351-7039,https://blog.naver.com/sunframer
모,5.0,1건,리뷰 0,경기 의정부시 평화로 569-1,(지번) 의정부동 206-10,053-351-7039,https://blog.naver.com/monica0133
작은창큰풍경협,0.0,0건,리뷰 1,대전 동구 대전천동로 580,(지번) 중동 51-32,042-223-8858,
삼정필,4.0,1건,리뷰 0,경남 김해시 김해대로2517번길 28,(지번) 삼정동 651-13,055-324-3604,
김씨공방,0.0,0건,리뷰 1,경남 함안군 칠원읍 광려천북로 272,(지번) 칠원읍 예곡리 832-39,연락처 없음,https://cafe.naver.com/skybluemsgxj
오캄세라믹,0.0,0건,리뷰 1,부산 서구 흑교로109번길 12,(지번) 부용동1가 17-3,연락처 없음,http://blog.naver.com/nhh0468
나무랄데없는목,0.0,0건,리뷰 17,세종특별자치시 아름서1길 13-4 영토빌딩 6층,(지번) 아름동 1332,010-4405-4469,http://blog.naver.com/namuralde
퍼퓸72,0.0,0건,리뷰 11,광주 동구 중앙로160번길 22 4층,(지번) 황금동 101,010-4405-4469,https://instagram.com/perfume72_gwangju?igshid=8df6erc9j6rd
갤러,0.0,0건,리뷰 4,서울 종로구 삼청로 87,(지번) 팔판동 27-6,010-4405-4469,http://www.gallerydoll.com/
환,0.0,0건,리뷰 0,대구 중구 명륜로26길 5,(지번) 대봉동 743-4,010-4405-4469,
료니의공방,0.0,0건,리뷰 0,대구 달서구 장기로 239-6 1층,(지번) 장기동 555-9,연락처 없음,http://blog.naver.com/lovechinggu
투제이아틀리에,0.0,0건,리뷰 7,대구 남구 대봉로26길 18,(지번) 이천동 255-16,010-2379-3086,
소소한날 대구죽전점,0.0,0건,리뷰 1,대구 달서구 죽전길 73 1층,(지번) 죽전동 211-5,연락처 없음,https://www.instagram.com/sosohannal_2nd/
보문사경,0.0,0건,리뷰 0,대구 중구 명덕로55길 11,(지번) 대봉동 162-31,연락처 없음,
신진종합상사,0.0,0건,리뷰 0,대구 서구 평리로35길 75,(지번) 중리동 1079-2,053-553-6810,
물보라천연비누,0.0,0건,리뷰 0,대구 서구 북비산로 203,(지번) 평리동 526-9,053-582-4868,
노곡자수,0.0,0건,리뷰 0,대구 서구 와룡로66길 7-6,(지번) 중리동 1120-15,053-562-5448,
목,0.0,0건,리뷰 6,서울 노원구 화랑로 606,(지번) 공릉동 29-2,02-977-4816,
,"D 니트갤러리 수예,자수",0.0,0건,리뷰 0,(지번) 공릉동 29-2,02-977-4816,
황실유럽십자수,0.0,0건,리뷰 0,경북 경산시 중앙로 72-4,(지번) 중방동 525-3,연락처 없음,
아씨 방앗간,5.0,1건,리뷰 32,서울 종로구 돈화문로11다길 47,(지번) 익선동 166-68,연락처 없음,
지후아트,5.0,1건,리뷰 2,전북 전주시 덕진구 숲정이2길 46,(지번) 진북동 1143-15,연락처 없음,
아트스페이,0.0,0건,리뷰 1,서울 은평구 증산로19길 9-3,(지번) 신사동 36-30,연락처 없음,
소피에뜰,0.0,0건,리뷰 0,대구 수성구 달구벌대로496길 19-6 1층,(지번) 범어동 256-13,연락처 없음,
우드끌로,0.0,0건,리뷰 5,부산 부산진구 전포대로223번길 20,(지번) 전포동 671-1,010-8396-1828,
딜쿠샤캔들,0.0,0건,리뷰 3,대구 북구 침산로22길 31,(지번) 침산동 105-73,연락처 없음,http://storefarm.naver.com/boriya/
탐하다,0.0,0건,리뷰 0,대구 서구 국채보상로34길 21-30,(지번) 중리동 64-8,연락처 없음,
정우테크,0.0,0건,리뷰 0,경남 김해시 생림면 상동로 30-50,(지번) 생림면 나전리 320-2,055-328-5002,
소메드가죽공방,0.0,0건,리뷰 1,부산 부산진구 전포대로255번길 41 전포상가 라동 111호,(지번) 전포동 654-1,010-8250-8817,http://blog.naver.com/somadleather
나비레진,0.0,0건,리뷰 5,대구 서구 북비산로57길 20 2층,(지번) 비산동 790-101,연락처 없음,https://blog.naver.com/naviresin
동아유리거울,0.0,0건,리뷰 0,대구 남구 관문시장1길 23,(지번) 대명11동 1185-4,연락처 없음,
성희표구사,0.0,0건,리뷰 0,대구 서구 달구벌대로329길 85,(지번) 중리동 711-17,053-554-1063,
카멜네온,5.0,1건,리뷰 10,대전 중구 중교로 93-1 2층,(지번) 은행동 72-7,053-554-1063,http://www.instagram.com/chamelneon
,D 손가네 목공방 목공예,0.0,0건,리뷰 0,(지번) 은행동 72-7,053-554-1063,
미진아트,5.0,1건,리뷰 0,서울 중구 충무로 26-1 1층,(지번) 초동 40-4,053-554-1063,http://mijinart.blog.me/
한,4.0,11건,리뷰 0,서울 광진구 능동로 170,(지번) 화양동 111-88,02-456-8585,
바늘소리,0.0,0건,리뷰 0,대구 달서구 호산로29길 11,(지번) 파호동 82-16,연락처 없음,
피네아,0.0,0건,리뷰 19,서울 서초구 방배로19길 43 1층,(지번) 방배동 928-19,연락처 없음,http://www.pinea.co.kr/
깨롱이네,0.0,0건,리뷰 12,대구 달서구 대명천로11길 12 1층,(지번) 성당동 264-1,010-7310-3589,https://m.blog.naver.com/kkaelongine
동인화방,0.0,0건,리뷰 0,부산 해운대구 해운대로 543,(지번) 우동 829-9,051-743-1175,
비즈월드,0.0,0건,리뷰 5,부산 동구 진시장로 24 부산진시장 3층 316호,(지번) 범일동 635-1,051-637-3354,http://blog.naver.com/bizworldblog
남산화랑,5.0,1건,리뷰 0,대구 달서구 야외음악당로 57-1,(지번) 성당동 490-8,053-654-7920,
7월 나무,0.0,0건,리뷰 0,대구 수성구 청솔로 4 1층,(지번) 황금동 764-11,053-654-7920,https://www.instagram.com/july_wood_/
대,0.0,0건,리뷰 0,대구 중구 서성로2가 13-4,,연락처 없음,
사계절손뜨개수예점,0.0,0건,리뷰 0,대구 달서구 와룡로51길 110-7,(지번) 용산동 950-8,연락처 없음,
한성액자,0.0,0건,리뷰 0,대구 수성구 만촌로 46,(지번) 만촌동 1007-5,053-791-5756,http://ok114.co.kr/0537915756
삐에르 핸즈,0.0,0건,리뷰 0,대구 달서구 새동네로 77-8,(지번) 용산동 427-8,연락처 없음,
만들고닷컴,0.0,0건,리뷰 0,대구 동구 반야월북로 64,(지번) 율암동 359-7,053-964-8981,http://www.mandlgo.com/
,"D 호산나성물공방 미술,공예",0.0,0건,리뷰 0,(지번) 율암동 359-7,053-964-8981,
동,0.0,0건,리뷰 0,대구 동구 신암남로28길 80-16,(지번) 신암동 362-5,연락처 없음,
갤러리중앙,0.0,0건,리뷰 0,대구 중구 봉산문화길 69,(지번) 봉산동 110,053-425-0809,
갤러,5.0,2건,리뷰 1,경북 청도군 화양읍 연지안길 36,(지번) 화양읍 토평리 31,연락처 없음,
데일리,0.0,0건,리뷰 0,대구 달성군 옥포읍 옥계길 24,(지번) 옥포읍 본리리 850-6,연락처 없음,https://blog.naver.com/dailywood
클래씨,0.0,0건,리뷰 1,부산 수영구 무학로49번길 78 1층,(지번) 광안동 93-29,연락처 없음,https://blog.naver.com/classyclocca
송하요,0.0,0건,리뷰 0,대구 달서구 송현로 12,(지번) 송현동 1950-6,연락처 없음,
진영모사,0.0,0건,리뷰 0,대구 중구 큰장로28길 40,(지번) 대신동 115-341,053-255-3100,
묵향,0.0,0건,리뷰 0,대구 서구 서대구로4길 4,(지번) 내당동 221-15,연락처 없음,
바비뜨개방,0.0,0건,리뷰 0,대구 남구 대명로20길 66-1,(지번) 대명동 1038-4,연락처 없음,
화방,0.0,0건,리뷰 0,서울 구로구 경인로 393-7 일이삼전자타운 2동 1층 82호,(지번) 고척동 73-3,02-2688-1129,http://www.hbstory.co.kr/
갤러,0.0,0건,리뷰 1,서울 마포구 양화로16길 14-16 지하1층,(지번) 서교동 370-12,02-333-6707,
서원서예,0.0,0건,리뷰 1,서울 종로구 인사동4길 17 건국관 106호,(지번) 경운동 47-1,02-333-6707,http://www.seohwa.net/
대림목공예전시장,0.0,0건,리뷰 0,대구 동구 팔공로24길 65,(지번) 도동 978-120,053-982-3455,
쥬트아뜰리에 대구점,0.0,0건,리뷰 0,대구 수성구 들안로1길 25 1층,(지번) 상동 408-1,053-568-0033,http://zutkorea.com/
,D 하늘강 아뜰리에 전통공예,0.0,0건,리뷰 9,(지번) 상동 408-1,053-568-0033,http://hanulkang.kr/
조형,3.0,1건,리뷰 6,서울 종로구 인사동5길 29 태화빌딩 지하1층,(지번) 인사동 194-27,053-568-0033,http://www.chohyunggallery.com/
황실유럽십자수,2.0,1건,리뷰 0,부산 부산진구 서전로 15,(지번) 부전동 142-5,051-924-0078,
세모네모동그라미,2.6,5건,리뷰 46,서울 강남구 강남대로106길 14 오성빌딩 3층,(지번) 역삼동 813-2,02-566-3228,http://blog.naver.com/senedong81
소나무,0.0,0건,리뷰 0,대구 중구 봉산문화길 14,(지번) 봉산동 218-8,053-423-1186,
스튜디오앙스,0.0,0건,리뷰 2,대구 달서구 진천로8길 22-15 1층,(지번) 진천동 251-42,연락처 없음,http://blog.naver.com/avec1214
달로,0.0,0건,리뷰 6,울산 남구 팔등로51번길 18-1,(지번) 신정동 475-8,연락처 없음,https://www.instagram.com/im_dalo/
퀼트가게,0.0,0건,리뷰 0,대구 중구 큰장로28길 28 4지구 1층 501호,(지번) 대신동 115-377,053-256-6061,http://www.quiltgage.com/
로터스가죽이야기,0.0,0건,리뷰 0,대구 달서구 월배로24길 13,(지번) 진천동 241,연락처 없음,
도호공방,0.0,0건,리뷰 0,대구 달서구 와룡로51길 61,(지번) 용산동 886,053-592-4095,
성조각예술원,0.0,0건,리뷰 2,경남 합천군 봉산면 인덕로 1004-16,(지번) 봉산면 계산리 1034,033-933-4343,
오니,0.0,0건,리뷰 0,대구 중구 남산로2길 48 1층,(지번) 남산동 2119-10,연락처 없음,https://blog.naver.com/oneyoney
다온향기,0.0,0건,리뷰 0,대구 달서구 감삼북길 82 1층,(지번) 감삼동 101-17,연락처 없음,http://blog.naver.com/hwr0796
아트,3.3,4건,리뷰 2,서울 종로구 자하문로6길 15,(지번) 통의동 33,연락처 없음,http://www.artside.org/
어반플루토,5.0,2건,리뷰 3,서울 영등포구 양평로22나길 3-2 2층,(지번) 양평동5가 69-2,연락처 없음,http://www.urbanpluto.com/
진주표구사,0.0,0건,리뷰 0,대구 서구 서대구로32길 5-3,(지번) 평리동 1086-7,053-567-6649,
레브쥬,0.0,0건,리뷰 4,대구 북구 학정동로 73 1층,(지번) 학정동 948-3,010-3825-9098,https://www.instagram.com/revejou
